,,,,,,,,Carrocería,,,,,,,,,,,,,,,,,,,Motor,,,,,,,,,,,,,,Transmisión y control,,,,Prestaciones y consumos homologados,,,,,,,,,Suspensión y frenos,,,,
id_trim,Marca,Modelo,Generación,Año de la puesta (Generación),Año de detener (Generación),Seria,Modificación,Carrocería,Número de plazas,Longitud [mm],Anchura [mm],Altura [mm],Distancia entre ejes [mm],Vía delantera [mm],Vía trasera [mm],Carga frontal/trasera de eje [kg],Altura de carga [mm],Volúmenes de maletero (Largo / ancho / alto) [mm],Volúmenes de maletero [m3],Peso en orden de marcha [kg],Altura libre [mm],Capacidad maletero max [l],Capacidad maletero min [l],Capacidad de carga [kg],Peso máximo admisible [kg],Masa de carga remolcada (con frenos) [kg],Tipo de motor,Cilindrada [cm3],Potencia del motor [CV],Revoluciones potencia máxima [RPM],Par máximo [N*m],Tipo de inyección,Disposición de los cilindros,Número de cilindros,Tipo de sobrealimentado,Diámetro del cilindro [mm],Recorrido del pistón [mm],Válvulas por cilindro,Revoluciones par máximo [RPM],Presencia de intercooler,Caja de cambios,Tracción,Diámetro de giro [m],Número de marchas,Combustible,Velocidad máxima [km/h],Consumo urbano por 100 km [l],Consumo medio por 100 km [l],Aceleración de 0-100 km/h [second],Autonomía de marcha [km],Normativa de emisiones,Capacidad depósito [l],Consumo extraurbano por 100 km [l],Frenos delanteros,Frenos traseros,Suspensión delantera,Suspensión trasera,
195391,Audi,100,4A/C4,1990,1994,Avant Berlina,2.0 AT (115 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1080/1050,,,,1349,131,1266,1266,576,1925,3325,Gasolina,1984,115,à 5 400,168,Inyección multipunto,Inline,4,,"82,5","92,8",2,à 3 200,,Expendedora,Frente,"11,4",4,95,179,"12,1",,"13,1",de 660,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195392,Audi,100,4A/C4,1990,1994,Avant Berlina,2.0 MT (101 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1080/1000,,,,1335,131,1266,1266,575,1910,3160,Gasolina,1984,101,à 5 500,157,Inyección multipunto,Inline,4,,"82,5","92,8",2,à 2 750,,Mecánica,Frente,"11,4",5,95,175,"10,7",,"13,1",de 750,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195393,Audi,100,4A/C4,1990,1994,Avant Berlina,2.0 MT (115 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1080/1050,,,,1333,131,1266,1266,592,1925,3225,Gasolina,1984,115,à 5 400,168,Inyección multipunto,Inline,4,,"82,5","92,8",2,à 3 200,,Mecánica,Frente,"11,4",5,95,184,"11,5",,"11,5",de 700,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195394,Audi,100,4A/C4,1990,1994,Avant Berlina,2.3 AT (133 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1120/1050,,,,1393,133,1266,1266,577,1970,3570,Gasolina,2309,133,à 5 500,186,Inyección multipunto,Inline,5,,"82,5","86,4",2,à 4 000,,Expendedora,Frente,"11,4",4,95,189,"13,3",,"12,2",de 600,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195395,Audi,100,4A/C4,1990,1994,Avant Berlina,2.3 MT (133 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1120/1050,,,,1379,133,1266,1266,591,1970,3470,Gasolina,2309,133,à 5 500,186,Inyección multipunto,Inline,5,,"82,5","86,4",2,à 4 000,,Mecánica,Frente,"11,4",5,95,194,13,,"10,5",de 620,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195396,Audi,100,4A/C4,1990,1994,Avant Berlina,2.4 D MT (82 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1150/1050,,,,1397,129,1266,1266,588,1985,3285,Diesel,2370,82,à 4 400,164,Inyección multipunto,Inline,5,,"79,5","95,5",2,de 2 400 à 2 500,,Mecánica,Frente,"11,4",5,Diesel,160,"9,9",,"17,5",de 810,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195397,Audi,100,4A/C4,1990,1994,Avant Berlina,2.5 TDI MT (115 CV),Berlina,5,4790,1777,1440,2687,1526,1524,1160/1050,,,,1444,129,1266,1266,581,2025,3475,Diesel,2460,115,à 4 000,265,La inyección directa,Inline,5,Turbo,81,"95,5",2,à 2 250,hay,Mecánica,Frente,"11,4",5,Diesel,188,"7,5",,"11,6",de 1 070,,80,,Discos,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195398,Audi,100,4A/C4,1990,1994,Avant Berlina,2.6 AT (150 CV),Berlina,5,4790,1777,1440,2687,1528,1524,1150/1050,,,,1470,103,1266,1266,536,2006,3656,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Expendedora,Frente,"11,4",4,95,200,"13,5",,"11,3",de 590,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
195401,Audi,100,4A/C4,1990,1994,Avant Berlina,2.6 MT (150 CV),Berlina,5,4790,1777,1440,2687,1528,1524,1150/1050,,,,1450,103,1266,1266,556,2006,3606,Gasolina,2598,150,à 5 750,225,Inyección multipunto,V-twin,6,,"82,5",81,2,à 3 500,,Mecánica,Frente,"11,4",5,95,203,"12,5",,"9,8",de 640,,80,,Discos ventilados,Discos,"Independiente, Palanca, Amortiguadores, la primavera, Barra estabilizadora","En el brazo de remolque, Barra Panhard, Amortiguadores, resorte helicoidal",
